mcc_cat_desc,total,transactions,doy,hour
ALCOHOL,35.8,2,324,4
ALCOHOL,153.33,11,324,5
ALCOHOL,3926.51,104,324,6
ALCOHOL,7013.4,212,324,7
ALCOHOL,12960.81,379,324,8
ALCOHOL,16556.43,450,324,9
ALCOHOL,21434.31,583,324,10
ALCOHOL,21842.41,703,324,11
ALCOHOL,26769.89,923,324,12
ALCOHOL,33859.02,1152,324,13
ALCOHOL,42501.48,1480,324,14
ALCOHOL,42872.42,1537,324,15
ALCOHOL,36653.43,1369,324,16
ALCOHOL,30024.69,1208,324,17
ALCOHOL,20505.3,839,324,18
ALCOHOL,10975.7,532,324,19
ALCOHOL,6590.74999999999,347,324,20
ALCOHOL,3146.84,201,324,21
ALCOHOL,1684.71,111,324,22
ALCOHOL,767.22,54,324,23
ALCOHOL,290.78,15,325,0
ALCOHOL,250.81,10,325,1
ALCOHOL,36,1,325,2
ALCOHOL,95.45,8,325,4
ALCOHOL,269.71,20,325,5
ALCOHOL,2958.33,124,325,6
ALCOHOL,8387.89,228,325,7
ALCOHOL,14312.02,381,325,8
ALCOHOL,21085.22,578,325,9
ALCOHOL,22695.11,629,325,10
ALCOHOL,28549.99,828,325,11
ALCOHOL,35869.73,1029,325,12
ALCOHOL,46161.6200000001,1312,325,13
ALCOHOL,45350.7300000001,1601,325,14
ALCOHOL,47834.6099999999,1730,325,15
ALCOHOL,43610.4100000001,1557,325,16
ALCOHOL,37817.78,1463,325,17
ALCOHOL,24662.22,1021,325,18
ALCOHOL,12754.26,580,325,19
ALCOHOL,7700.08999999999,374,325,20
ALCOHOL,4216.72,243,325,21
ALCOHOL,1806.36,135,325,22
ALCOHOL,980.99,62,325,23
ALCOHOL,422.05,29,326,0
ALCOHOL,206.31,13,326,1
ALCOHOL,38.17,5,326,3
ALCOHOL,67.27,8,326,4
ALCOHOL,378.89,24,326,5
ALCOHOL,4631.52,167,326,6
ALCOHOL,12577.64,358,326,7
ALCOHOL,24030.53,605,326,8
ALCOHOL,29364.74,802,326,9
ALCOHOL,41229.23,1062,326,10
ALCOHOL,52455.29,1363,326,11
ALCOHOL,65053.0600000001,1754,326,12
ALCOHOL,76957.0099999997,2277,326,13
ALCOHOL,99886.44,2880,326,14
ALCOHOL,98501.9,2902,326,15
ALCOHOL,87060.6800000002,2864,326,16
ALCOHOL,73770.7799999999,2518,326,17
ALCOHOL,51434.5100000001,1920,326,18
ALCOHOL,27799.62,1143,326,19
ALCOHOL,19052.99,804,326,20
ALCOHOL,8473.76999999999,424,326,21
ALCOHOL,5031.68,309,326,22
ALCOHOL,3023.24,167,326,23
ALCOHOL,1536.1,77,327,0
ALCOHOL,750.56,47,327,1
ALCOHOL,209.56,7,327,2
ALCOHOL,77.03,1,327,3
ALCOHOL,120.55,7,327,4
ALCOHOL,452.43,15,327,5
ALCOHOL,11671.43,251,327,6
ALCOHOL,20116.55,490,327,7
ALCOHOL,39768.45,910,327,8
ALCOHOL,55086.5599999999,1253,327,9
ALCOHOL,67649.8599999999,1613,327,10
ALCOHOL,82737.86,1895,327,11
ALCOHOL,85834.6000000001,2199,327,12
ALCOHOL,92129.0300000002,2431,327,13
ALCOHOL,92316.76,2664,327,14
ALCOHOL,84797.72,2594,327,15
ALCOHOL,81271.5299999999,2514,327,16
ALCOHOL,68453.2199999999,2292,327,17
ALCOHOL,47605.77,1813,327,18
ALCOHOL,30491.21,1111,327,19
ALCOHOL,16447.7,703,327,20
ALCOHOL,7550.24,433,327,21
ALCOHOL,5976.75999999999,300,327,22
ALCOHOL,3021.64,170,327,23
ALCOHOL,1456.62,80,328,0
ALCOHOL,662.84,37,328,1
ALCOHOL,143.31,7,328,2
ALCOHOL,12.8,1,328,3
ALCOHOL,14.24,2,328,4
ALCOHOL,42.29,3,328,5
ALCOHOL,713.89,27,328,6
ALCOHOL,4106.61,141,328,7
ALCOHOL,8196.56999999999,276,328,8
ALCOHOL,26230.72,752,328,9
ALCOHOL,34682.66,975,328,10
ALCOHOL,37009.2,1072,328,11
ALCOHOL,36520.34,1099,328,12
ALCOHOL,38467.33,1234,328,13
ALCOHOL,32426.64,1087,328,14
ALCOHOL,26870.3,982,328,15
ALCOHOL,19909.84,787,328,16
ALCOHOL,17236.3,689,328,17
ALCOHOL,9789.93999999999,459,328,18
ALCOHOL,6757.6,370,328,19
ALCOHOL,3835.24,240,328,20
ALCOHOL,2524.33,180,328,21
ALCOHOL,1437.37,81,328,22
ALCOHOL,510.82,38,328,23
ALCOHOL,138,10,329,0
ALCOHOL,28.6,2,329,1
ALCOHOL,4.25,1,329,2
ALCOHOL,18,1,329,3
ALCOHOL,32.84,3,329,4
ALCOHOL,408.96,18,329,5
ALCOHOL,4149.61,117,329,6
ALCOHOL,9522.24,255,329,7
ALCOHOL,17183.72,454,329,8
ALCOHOL,25771.29,601,329,9
ALCOHOL,36255.92,820,329,10
ALCOHOL,38575.9400000001,932,329,11
ALCOHOL,40733.66,1082,329,12
ALCOHOL,47135.66,1355,329,13
ALCOHOL,54504.9599999999,1640,329,14
ALCOHOL,54210.94,1646,329,15
ALCOHOL,46067.02,1508,329,16
ALCOHOL,34630.32,1253,329,17
ALCOHOL,22988.82,854,329,18
ALCOHOL,11423.99,472,329,19
ALCOHOL,6510.21,328,329,20
ALCOHOL,3646.08,210,329,21
ALCOHOL,1644.98,127,329,22
ALCOHOL,725.31,55,329,23
ALCOHOL,240.03,18,330,0
ALCOHOL,98.32,7,330,1
ALCOHOL,3.45,1,330,3
ALCOHOL,109.07,6,330,4
ALCOHOL,183.3,13,330,5
ALCOHOL,6393.49,159,330,6
ALCOHOL,15609.32,347,330,7
ALCOHOL,28468.92,638,330,8
ALCOHOL,44569.55,880,330,9
ALCOHOL,47919.87,988,330,10
ALCOHOL,53020.13,1204,330,11
ALCOHOL,64069.13,1463,330,12
ALCOHOL,71509.07,1713,330,13
ALCOHOL,73058.92,2005,330,14
ALCOHOL,75479.8000000001,2059,330,15
ALCOHOL,60005.22,1830,330,16
ALCOHOL,50728.5500000001,1598,330,17
ALCOHOL,35283.7500000001,1170,330,18
ALCOHOL,18010.11,689,330,19
ALCOHOL,9895.95,432,330,20
ALCOHOL,4540.5,271,330,21
ALCOHOL,1971.7,123,330,22
ALCOHOL,641.91,50,330,23
ALCOHOL,185.82,15,331,0
ALCOHOL,190.43,10,331,1
ALCOHOL,15.29,3,331,3
ALCOHOL,48.86,4,331,4
ALCOHOL,796.03,32,331,5
ALCOHOL,14566.93,332,331,6
ALCOHOL,34599.64,700,331,7
ALCOHOL,58911.5000000001,1281,331,8
ALCOHOL,79946.1099999999,1709,331,9
ALCOHOL,100686.35,2186,331,10
ALCOHOL,118782.18,2662,331,11
